,Country,CountryCode,Kind,etag,CategoryID,ChannelID,VideoCategory,Assignable
16,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/lL7uWDr_071CHxifjYG1tJrp4Uo""",30,UCBR8-60-B28hp2BmDPdntcQ,Movies,False
17,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/WnuVfjO-PyFLO7NTRQIbrGE62nk""",31,UCBR8-60-B28hp2BmDPdntcQ,Anime/Animation,False
18,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/ctpH2hGA_UZ3volJT_FTlOg9M00""",32,UCBR8-60-B28hp2BmDPdntcQ,Action/Adventure,False
19,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ""",33,UCBR8-60-B28hp2BmDPdntcQ,Classics,False
20,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/pUZOAC_s9sfiwar639qr_wAB-aI""",34,UCBR8-60-B28hp2BmDPdntcQ,Comedy,False
21,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/Xb5JLhtyNRN3AQq021Ds-OV50Jk""",35,UCBR8-60-B28hp2BmDPdntcQ,Documentary,False
22,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/u8WXzF4HIhtEi805__sqjuA4lEk""",36,UCBR8-60-B28hp2BmDPdntcQ,Drama,False
23,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""",37,UCBR8-60-B28hp2BmDPdntcQ,Family,False
24,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/i5-_AceGXQCEEMWU0V8CcQm_vLQ""",38,UCBR8-60-B28hp2BmDPdntcQ,Foreign,False
25,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/rtlxd0zOixA9QHdIZB26-St5qgQ""",39,UCBR8-60-B28hp2BmDPdntcQ,Horror,False
26,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/N1TrDFLRppxZgBowCJfJCvh0Dpg""",40,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy,False
27,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/7UMGi6zRySqXopr_rv4sZq6Za2E""",41,UCBR8-60-B28hp2BmDPdntcQ,Thriller,False
28,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/RScXhi324h8usyIetreAVb-uKeM""",42,UCBR8-60-B28hp2BmDPdntcQ,Shorts,False
29,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/0n9MJVCDLpA8q7aiGVrFsuFsd0A""",43,UCBR8-60-B28hp2BmDPdntcQ,Shows,False
30,Great Britain,GB,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/x5NxSf5fz8hn4loSN4rvhwzD_pY""",44,UCBR8-60-B28hp2BmDPdntcQ,Trailers,False
0,France,IN,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation,True
1,France,IN,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles,True
2,France,IN,youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,UCBR8-60-B28hp2BmDPdntcQ,Music,True
